event.id,visible,timestamp,location.long,location.lat,algorithm.marked.outlier,gps:hdop,manually.marked.outlier,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name
37385141733,true,2024.10.04 01:54:00.000,76.63939,11.5741,,0.89,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141734,true,2024.10.04 02:00:00.000,76.63948,11.57429,,0.96,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141735,true,2024.10.04 02:04:00.000,76.63879,11.57405,,0.89,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141736,true,2024.10.04 02:09:00.000,76.63876,11.57408,,0.89,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141737,true,2024.10.04 02:14:00.000,76.63906,11.57408,,0.97,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141739,true,2024.10.04 02:19:00.000,76.63952,11.57427,,0.97,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141742,true,2024.10.04 02:24:00.000,76.63837,11.5741,,0.89,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141744,true,2024.10.04 02:29:00.000,76.63949,11.57413,,0.91,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141747,true,2024.10.04 02:34:00.000,76.63931,11.57413,,0.92,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141749,true,2024.10.04 02:39:00.000,76.63924,11.57422,,0.92,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141751,true,2024.10.04 02:44:00.000,76.64019,11.57412,,1.14,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141752,true,2024.10.04 02:49:00.000,76.64015,11.57414,,1.0,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141754,true,2024.10.04 02:54:00.000,76.64037,11.57425,,1.02,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141757,true,2024.10.04 02:59:00.000,76.63982,11.5742,,1.01,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141759,true,2024.10.04 03:04:00.000,76.63972,11.57407,,0.82,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141761,true,2024.10.04 03:09:00.000,76.63941,11.57395,,1.09,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141763,true,2024.10.04 03:14:00.000,76.63958,11.57411,,0.89,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141765,true,2024.10.04 03:19:00.000,76.63972,11.57401,,0.92,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
